"date";"location";"value"
2020-03-09 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);20
2020-03-09 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);14
2020-03-09 00:00:00;NSLO (oblasť parku Námestia Slobody);2
2020-03-09 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);10
2020-03-09 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);21
2020-03-09 00:00:00;RBNN (oblasť Rybného Námestia);37
2020-03-09 00:00:00;OBCH ( oblasť Obchodná ulica stred);7
2020-03-09 00:00:00;HURN (oblasť Hurbanovho námestia);11
2020-03-09 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);10
2020-03-09 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);0
2020-03-10 00:00:00;OBCH ( oblasť Obchodná ulica stred);3
2020-03-10 00:00:00;HURN (oblasť Hurbanovho námestia);11
2020-03-10 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);3
2020-03-10 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);16
2020-03-10 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);12
2020-03-10 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);14
2020-03-10 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);20
2020-03-10 00:00:00;RBNN (oblasť Rybného Námestia);27
2020-03-10 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);17
2020-03-10 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);10
2020-03-10 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);29
2020-03-10 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);4
2020-03-10 00:00:00;NSLO (oblasť parku Námestia Slobody);4
2020-03-10 00:00:00;NSNP (oblasť Námestia SNP);2
2020-03-10 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);8
2020-03-10 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);6
2020-03-10 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);8
2020-03-10 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);15
2020-03-10 00:00:00;KNPM (oblasť Jedlíkovej ulice);1
2020-03-10 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);0
2020-03-11 00:00:00;KNPM (oblasť Jedlíkovej ulice);2
2020-03-11 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);12
2020-03-11 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);7
